County,Total_2020,Total_2019,Total_2018,Total_2017,Total_2016,Total_2015,Total_2014,Total_2013,Total_2012,Total_2011,Total_2010,Total_2009,Total_2008,Total_2007,Total_2006,Total_2005,Total_2004,Total_2003,Total_2002,Total_2001,Total_2000,Total_1999,Total_1998,Longitude,Latitude
Rogers Park,26,37,37,37,9,6,12,13,18,8,10,17,17,21,27,33,60,83,92,150,150,150,252,-87.670171,42.00963
Norwood Park,2,1,0,6,1,1,1,0,0,0,2,0,3,4,2,1,1,3,1,2,2,2,6,-87.803451,41.985248
Jefferson Park,5,9,7,7,1,2,1,1,1,0,0,1,4,5,4,0,0,5,5,5,5,5,4,-87.771165,41.978836
Forest Glen,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,2,0,1,1,1,7,-87.758358,41.993938
North Park,5,5,6,7,3,3,5,4,4,2,1,4,1,5,4,4,7,11,12,21,21,21,12,-87.723578,41.983651
Albany Park,24,35,29,29,12,13,11,14,16,25,13,20,26,28,28,42,52,97,97,138,138,138,211,-87.721558,41.968078
Portage Park,13,16,23,20,4,9,4,8,4,7,13,19,12,20,17,20,29,25,33,39,39,39,53,-87.763401,41.954043
Irving Park,13,17,19,13,3,5,7,7,13,9,18,17,10,23,11,31,48,49,68,77,77,77,103,-87.723457,41.953589
Dunning,5,5,3,4,2,2,1,1,0,1,2,2,4,3,3,3,4,3,4,5,5,5,10,-87.806015,41.946522
Montclare,1,2,4,0,0,0,0,1,4,4,3,0,1,1,4,5,5,2,4,5,5,5,10,-87.798033,41.929306
Belmont Cragin,32,42,46,58,18,12,19,22,24,27,35,50,60,46,54,63,70,116,107,150,150,150,169,-87.765502,41.927275
West Ridge,51,82,71,67,13,15,21,24,24,22,25,21,17,27,21,38,44,53,84,77,77,77,91,-87.695017,42.001583
Hermosa,18,23,22,24,6,7,10,4,8,7,10,19,19,20,21,31,38,57,67,89,89,89,109,-87.734741,41.924353
Avondale,15,8,10,24,6,9,3,8,6,11,12,30,24,16,18,39,45,63,78,99,99,99,131,-87.711219,41.938673
Logan Square,17,17,19,31,9,13,11,9,16,23,23,26,29,43,40,56,66,103,157,271,271,271,397,-87.699149,41.922768
Humboldt Park,46,58,71,93,15,27,22,25,40,39,38,60,61,91,120,172,228,312,431,607,607,607,897,-87.720917,41.90008
West Town,13,15,8,17,4,3,1,9,4,9,10,14,14,17,24,28,50,69,111,222,222,222,478,-87.676358,41.901216
Austin,107,139,141,152,50,56,70,73,110,91,100,106,144,222,244,290,386,482,724,974,974,974,1532,-87.763117,41.894113
West Garfield Park,18,31,35,42,9,10,9,5,18,13,19,11,28,51,50,92,106,166,220,365,365,365,533,-87.730233,41.878602
East Garfield Park,10,14,19,24,9,8,5,8,10,10,8,13,19,31,27,58,93,121,184,231,231,231,468,-87.705892,41.878923
Near West Side,8,12,12,8,9,4,6,4,7,8,3,9,12,9,15,22,51,72,81,184,184,184,329,-87.663513,41.874016
North Lawndale,32,57,53,72,26,17,12,20,32,34,34,33,41,59,89,128,241,279,423,571,571,571,913,-87.717218,41.860197
Uptown,3,8,14,16,2,1,3,5,5,5,5,11,9,11,23,28,43,72,93,116,116,116,284,-87.655899,41.965822
South Lawndale,62,84,64,114,31,32,34,44,42,43,47,57,64,93,128,166,210,271,327,426,426,426,781,-87.714,41.839091
Lower West Side,14,13,13,13,4,6,4,5,8,13,11,17,14,29,29,50,68,115,143,203,203,203,370,-87.66757,41.850277
Loop,2,5,1,3,0,2,1,3,1,1,0,0,0,0,0,2,4,8,5,13,13,13,9,-87.625194,41.878881
Near South Side,0,0,2,0,1,1,0,0,0,1,1,3,0,3,5,6,6,10,15,24,24,24,51,-87.620344,41.857196
Armour Square,0,1,2,5,2,1,0,0,1,0,0,3,2,0,2,2,3,0,4,11,11,11,16,-87.633976,41.842083
Douglas,3,2,3,3,0,0,1,2,3,0,0,2,5,2,4,10,10,15,40,88,88,88,168,-87.61868,41.835122
Oakland,1,0,1,2,1,1,0,0,0,0,1,3,0,0,1,2,4,7,14,36,36,36,58,-87.603217,41.823754
Fuller Park,1,11,6,6,2,0,2,3,7,3,1,0,4,8,11,12,25,22,39,57,57,57,103,-87.632427,41.809082
Grand Boulevard,4,6,13,15,4,5,6,10,14,11,17,17,25,22,15,35,40,47,99,237,237,237,395,-87.61786,41.812947
Kenwood,2,2,7,4,0,0,0,0,0,2,1,5,3,6,6,9,10,12,25,42,42,42,72,-87.596186,41.808918
Lincoln Square,4,8,9,6,3,2,4,8,9,3,7,5,5,13,4,13,22,17,31,56,56,56,67,-87.687513,41.975182
Washington Park,6,12,11,8,3,2,2,2,7,1,3,6,14,24,31,39,63,66,88,164,164,164,332,-87.617936,41.792356
Hyde Park,4,6,5,2,0,1,1,1,3,0,4,2,2,9,6,11,5,12,25,24,24,24,26,-87.592305,41.794088
Woodlawn,8,7,20,16,5,7,12,20,19,17,10,8,17,25,21,51,94,118,145,239,239,239,344,-87.594924,41.778877
South Shore,43,53,42,53,18,9,18,9,25,21,24,34,43,53,49,87,142,209,307,310,310,310,484,-87.57279,41.761583
Chatham,15,32,27,22,3,6,11,4,9,4,6,14,21,35,33,41,70,79,101,117,117,117,186,-87.615965,41.740206
Avalon Park,4,5,7,6,3,3,6,6,2,2,3,6,3,13,6,13,19,14,24,27,27,27,34,-87.586347,41.744197
South Chicago,26,39,42,48,6,7,10,14,22,25,25,24,24,44,74,86,100,142,217,197,197,197,343,-87.551435,41.741243
Burnside,0,0,3,0,0,1,0,2,4,2,2,1,1,3,3,2,4,7,8,19,19,19,23,-87.59647,41.728181
Calumet Heights,2,3,4,5,0,3,2,1,1,1,0,4,7,11,5,11,8,12,20,32,32,32,44,-87.57272,41.729673
Roseland,21,42,57,52,12,20,11,18,27,26,34,30,34,62,76,102,101,172,224,296,296,296,446,-87.623366,41.706588
North Center,2,2,3,4,1,1,1,1,3,5,6,3,2,1,7,5,1,5,6,16,16,16,34,-87.683839,41.947811
Pullman,5,9,2,4,1,1,2,1,2,9,5,4,6,5,9,8,13,19,19,36,36,36,53,-87.598252,41.706131
South Deering,4,7,6,10,2,2,3,1,1,1,4,3,3,8,8,9,15,25,26,29,29,29,47,-87.570058,41.690639
East Side,10,7,12,18,2,6,3,3,8,9,7,13,13,15,15,25,14,19,27,27,27,27,58,-87.534907,41.707306
West Pullman,14,30,34,32,2,10,11,11,8,11,23,21,28,37,48,60,85,95,156,247,247,247,345,-87.635745,41.67382
Riverdale,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,8,9,21,21,21,46,-87.602849,41.660137
Hegewisch,0,3,2,2,1,2,1,1,1,2,0,3,0,3,2,2,0,0,2,6,6,6,8,-87.556803,41.668188
Garfield Ridge,1,4,7,9,1,3,1,2,5,1,0,6,6,1,4,8,4,6,7,14,14,14,33,-87.764246,41.796185
Archer Heights,4,6,5,8,1,4,4,1,5,4,9,8,6,6,6,8,9,6,10,4,4,4,7,-87.726365,41.810873
Brighton Park,33,18,31,49,8,15,16,22,38,31,39,38,40,44,57,84,83,89,117,125,125,125,134,-87.698859,41.817364
McKinley Park,6,5,4,8,2,1,1,9,8,5,9,9,6,2,5,8,7,9,14,28,28,28,33,-87.6725,41.829927
Lake View,2,2,8,11,3,2,2,2,2,4,2,4,0,5,5,7,10,6,13,14,14,14,27,-87.656001,41.944236
Bridgeport,5,3,2,6,2,1,1,0,4,6,3,0,2,4,4,6,6,9,16,28,28,28,57,-87.648784,41.836151
New City,50,52,58,73,17,19,22,28,43,22,18,33,48,96,118,148,175,245,372,471,471,471,692,-87.659171,41.809017
West Elsdon,2,8,5,3,0,3,3,2,2,2,6,4,5,3,6,3,9,8,6,5,5,5,10,-87.724213,41.792977
Gage Park,26,34,42,35,13,13,12,15,23,23,17,18,34,41,60,85,86,111,126,139,139,139,172,-87.696433,41.795429
Clearing,1,2,3,3,1,2,2,4,0,2,2,1,4,3,0,3,4,6,4,1,1,1,2,-87.768517,41.779582
West Lawn,7,11,20,13,7,6,6,7,6,5,5,10,6,10,10,14,16,13,20,14,14,14,19,-87.726927,41.769774
Chicago Lawn,42,67,76,80,20,19,27,31,29,38,49,52,74,105,148,145,172,201,285,379,379,379,502,-87.695667,41.771849
West Englewood,53,75,82,72,19,25,26,20,35,41,42,48,61,100,121,133,247,350,487,638,638,638,1011,-87.666598,41.775926
Englewood,35,71,65,53,20,22,27,21,40,34,35,37,69,94,130,171,334,390,487,696,696,696,1135,-87.642502,41.777201
